entry,exit,bars,entry_px,exit_px,pnl_pct
2005-07-26,2005-08-23,28,84.11,83.36,-0.89
2005-09-15,2005-10-21,36,83.98,80.9,-3.67
2005-11-16,2005-12-19,33,84.57,86.54,2.34
2006-03-29,2006-04-10,12,89.87,89.67,-0.22
2006-05-19,2006-06-08,20,87.85,86.92,-1.06
2006-08-21,2006-09-25,35,90.34,92.38,2.25
2006-10-02,2006-11-15,44,92.79,97.63,5.21
2007-02-20,2007-02-28,8,102.4,98.82,-3.5
2007-03-01,2007-04-04,34,98.52,101.26,2.78
2007-04-20,2007-06-19,60,104.62,108.36,3.57
2007-06-27,2007-07-02,5,106.33,107.31,0.92
2007-07-10,2007-07-16,6,106.7,109.46,2.59
2007-08-02,2007-08-17,15,104.35,102.31,-1.96
2007-09-28,2007-10-22,24,108.38,106.93,-1.34
2007-10-23,2007-10-26,3,107.8,109.12,1.23
2008-05-13,2008-05-28,15,100.81,99.97,-0.84
2008-06-17,2008-06-23,6,97.29,94.81,-2.55
2009-05-07,2009-06-01,25,66.92,69.8,4.3
2009-07-07,2009-07-16,9,65.23,68.97,5.73
2009-07-28,2009-09-03,37,72.51,74.55,2.82
2009-09-10,2009-09-15,5,77.62,78.31,0.89
2009-09-23,2009-10-08,15,79.02,79.34,0.4
2009-10-27,2009-11-13,17,79.2,81.58,3.01
2009-11-19,2009-12-10,21,81.73,82.34,0.75
2010-01-12,2010-01-21,9,85.04,83.58,-1.72
2010-01-26,2010-03-02,35,81.79,83.95,2.64
2010-03-08,2010-04-23,46,85.5,91.52,7.04
2010-05-10,2010-06-01,22,87.27,80.79,-7.43
2010-09-29,2010-10-18,19,86.87,89.77,3.33
2010-11-10,2010-11-15,5,92.66,91.09,-1.7
2010-12-13,2011-02-03,52,94.53,99.77,5.55
2011-03-18,2011-04-27,40,97.89,103.95,6.19
2011-05-27,2011-05-31,4,102.3,103.36,1.04
2011-06-06,2011-06-20,14,98.87,98.33,-0.55
2011-07-21,2011-07-22,1,103.56,103.63,0.07
2012-01-18,2012-03-13,55,101.86,109.1,7.1
2012-03-27,2012-04-17,21,110.44,108.81,-1.48
2012-05-18,2012-06-05,18,101.5,100.98,-0.52
2012-08-23,2012-09-06,14,110.61,113.06,2.21
2012-09-19,2012-10-10,21,115.36,113.27,-1.81
2012-11-09,2012-11-30,21,109.23,112.38,2.89
2012-12-19,2013-01-02,14,114.07,116.29,1.94
2013-01-22,2013-02-26,35,118.74,119.44,0.6
2013-02-27,2013-02-28,1,120.95,120.71,-0.2
2013-03-18,2013-04-08,21,123.93,124.93,0.8
2013-05-10,2013-06-13,34,130.68,131.32,0.49
2013-06-26,2013-08-14,49,128.75,135.66,5.37
2013-08-23,2013-10-16,54,133.96,139.01,3.77
2013-10-23,2013-11-21,29,141.03,145.35,3.06
2014-01-13,2014-01-14,1,147.58,149.19,1.09
2014-01-15,2014-01-27,12,149.99,144.59,-3.6
2014-01-28,2014-03-27,58,145.45,150.59,3.53
2014-06-09,2014-07-14,35,159.56,161.99,1.52
2014-08-04,2014-09-23,50,158.94,163.08,2.6
2014-10-13,2014-10-22,9,154.35,158.7,2.82
2014-11-07,2014-12-11,34,167.47,168.17,0.42
2014-12-12,2015-01-06,25,165.45,165.48,0.02
2015-01-20,2015-02-04,15,167.33,168.99,0.99
2015-02-24,2015-03-11,15,175.41,169.35,-3.45
2015-03-12,2015-03-27,15,171.51,171.14,-0.21
2015-06-10,2015-06-29,19,175.48,171.71,-2.15
2015-07-21,2015-07-28,7,177.0,174.98,-1.14
2015-11-04,2015-11-27,23,176.75,176.08,-0.38
2015-12-15,2016-01-05,21,172.27,170.2,-1.21
2016-03-21,2016-04-13,23,173.89,176.71,1.63
2016-06-06,2016-06-27,21,179.56,170.46,-5.07
2016-06-28,2016-07-01,3,173.53,179.27,3.31
2016-07-22,2016-08-16,25,185.52,186.14,0.33
2016-09-14,2016-10-05,21,182.03,185.08,1.67
2016-10-17,2017-01-12,87,182.29,195.58,7.29
2017-02-17,2017-03-22,33,202.97,203.15,0.09
2017-03-23,2017-03-30,7,202.94,204.9,0.97
2017-05-04,2017-05-18,14,207.04,205.31,-0.83
2017-05-19,2017-05-31,12,206.65,209.36,1.31
2017-06-19,2017-06-28,9,213.19,212.17,-0.48
2017-07-27,2017-08-11,15,215.4,212.72,-1.25
2017-08-14,2017-08-16,2,214.83,215.17,0.16
2017-09-28,2017-11-09,42,219.23,226.08,3.12
2017-12-08,2018-02-05,59,232.5,232.3,-0.09
2018-02-07,2018-02-09,2,235.59,230.16,-2.31
2018-02-12,2018-03-08,24,233.54,241.25,3.3
2018-04-03,2018-04-13,10,230.44,234.31,1.68
2018-06-26,2018-08-10,45,241.09,251.35,4.26
2018-09-07,2018-09-24,17,255.29,259.5,1.65
2018-10-12,2018-10-31,19,246.06,241.31,-1.93
2019-02-25,2019-03-12,15,250.7,250.67,-0.01
2019-04-03,2019-06-12,70,258.02,259.79,0.69
2019-06-21,2019-08-06,46,266.13,260.52,-2.11
2019-08-07,2019-09-03,27,260.68,263.18,0.96
2019-09-19,2019-10-28,39,272.54,275.82,1.2
2019-10-29,2019-12-11,43,275.74,285.93,3.7
2019-12-26,2020-01-28,33,295.12,298.73,1.22
2020-01-29,2020-02-07,9,298.49,303.59,1.71
2020-03-02,2020-03-13,11,282.47,246.12,-12.87
2020-06-09,2020-06-12,3,294.88,279.64,-5.17
2020-06-15,2020-06-25,10,282.25,283.77,0.54
2020-07-23,2020-09-04,43,298.18,316.29,6.07
2020-09-08,2020-10-12,34,307.65,326.7,6.19
2020-10-22,2020-10-26,4,319.45,314.61,-1.51
2020-10-28,2020-10-29,1,302.81,305.89,1.02
2020-10-30,2020-12-18,49,302.7,343.68,13.54
2020-12-21,2021-01-06,16,342.45,347.75,1.55
2021-01-13,2021-01-25,12,353.56,357.84,1.21
2021-01-27,2021-01-28,1,348.55,351.55,0.86
2021-01-29,2021-02-04,6,344.51,359.52,4.36
2021-03-08,2021-03-19,11,355.36,363.77,2.37
2021-04-13,2021-05-17,34,385.6,388.09,0.64
2021-06-16,2021-06-18,2,394.24,388.8,-1.38
2021-06-21,2021-06-23,2,394.36,395.99,0.41
2021-07-09,2021-07-30,21,408.1,410.9,0.69
2021-09-21,2021-11-29,69,407.63,436.74,7.14
2021-11-30,2021-12-13,13,428.24,438.59,2.42
2022-01-21,2022-02-07,17,413.17,421.92,2.12
2022-08-22,2022-08-29,7,392.83,382.64,-2.59
2022-08-30,2022-09-13,14,378.44,373.59,-1.28
2022-11-29,2022-12-15,16,377.15,371.81,-1.42
2023-01-26,2023-03-06,39,388.01,387.74,-0.07
2023-04-10,2023-05-08,28,394.17,397.18,0.76
2023-06-06,2023-09-07,93,411.9,429.67,4.32
2023-09-26,2023-10-16,20,412.8,422.65,2.39
2023-11-24,2024-01-18,55,441.32,463.73,5.08
2024-01-31,2024-03-01,30,469.95,499.11,6.21
2024-03-12,2024-04-03,22,502.94,507.07,0.82
2024-04-23,2024-06-12,50,493.64,528.5,7.06
2024-06-24,2024-07-25,31,531.55,527.31,-0.8
2024-07-26,2024-09-23,59,533.22,559.64,4.96
2024-09-26,2024-11-01,36,562.22,560.99,-0.22
2024-11-04,2024-11-12,8,559.78,586.39,4.75
2024-12-11,2024-12-19,8,596.77,575.78,-3.52
2024-12-20,2025-01-28,39,582.7,595.88,2.26
2025-03-05,2025-03-17,12,574.72,559.04,-2.73
2025-05-30,2025-06-11,12,582.71,594.54,2.03
2025-07-09,2025-08-11,33,618.81,630.57,1.9
2025-09-12,2025-10-13,31,651.88,659.29,1.14
2025-10-14,2025-10-29,15,658.48,683.5,3.8
2025-11-25,2025-11-26,1,671.2,675.83,0.69
2025-12-16,2025-12-30,14,675.03,685.14,1.5
2026-03-16,2026-03-23,7,667.21,655.38,-1.77
